FMID,street,city,County,State,zip,x,y
1004304,226 South Main Street,Mount Holly,Gaston,North Carolina,28120,-81.01679,35.294871
1004315,18th & Broadway,Scottsbluff,Scotts Bluff,Nebraska,69361,-103.663,41.8645
1004317,Riverside Park,Cassville,Grant,Wisconsin,53806,-90.986,42.7262
1004318,304 Broadway,Springville,Linn,Iowa,52336,-91.442835,42.060748
1004321,"Cargill Way, between 4th and 5th Streets",Hartsville,Darlington,South Carolina,29551,-80.071428,34.373868
1004324,160 chicopee row,Groton Ma,Middlesex,Massachusetts,1450,-71.550179,42.626633
1004326,120 S. Tift Ave.,Tifton,Tift,Georgia,31794,-83.508489,31.452692
1004327,"1410 S. Brightleaf Blvd., (Hwy 301)",Smithfield,Johnston,North Carolina,27577,-78.3464,35.5023
1004328,13000 Van Ness,Los Angeles,Los Angeles,California,90047,-118.318,33.931
1004329,1670 West 162 at La Salle,Los Angeles,Los Angeles,California,90047,-118.306,33.8841
1004330,"1432 W. Adams, St. Agnes Catholic Church",Los Angeles,Los Angeles,California,90007,-118.292,34.0324
1004332,6139 Alabama 117,MENTONE,DEKALB,Alabama,35984,-85.589,34.5791
1004337,4580 Victoria Street North,Shoreview,Ramsey,Minnesota,55126,-93.1308,45.0803
1004344,E Park Blvd at S Ardmore Ave.,Villa Park,DuPage,Illinois,60181,-87.9789622,41.8833347
1004347,200 S Main St.,Wheaton,DuPage,Illinois,60187,-88.1066285,41.864176
1004348,"John C. Fremont Park, corner of 8th & Main St.",Freemont,0,Nebraska,68026,-96.5051,41.7309
1004349,8825 Viking Way,Stanwood,Snohomish,Washington,98292,-122.35207,48.241074
1004350, First and Ocean Avenue,Asbury Park,Monmouth,New Jersey,7712,-74.0007788,40.219339
1004352,Main Street (Rte 123),Hancock,Hillsborough,New Hampshire,3449,-71.984782,42.973035
1004353,500 East Main Street,Gentry,Benton,Arkansas,72734,-94.48,36.2662
1004354,9295 Greenback Lane,Orangevale,Sacramento,California,95662,-121.207654,38.678449
1004355,West Michigan Avenue and Spring Street,Three Rivers,St. Joseph,Michigan,49093,-85.6358056,41.9427664
1004356,2600 O Street NW,Washington,District of Columbia,District of Columbia,20007,-77.05464,38.908709
1004357,"City park, north of 4-way stop on Hwy 5 in Unionville MO",Unionville,Putnam,Missouri,63565,-92.9776,40.4745
1004358,"1309 5th Street, NE",Washington,District of Columbia,District of Columbia,20002,-76.998,38.9088
1004360,603 Church Street,Blackstone,Nottoway,Virginia,23824,-78.008079,37.077437
1004362,Center Street and Market Street,Ellenville,Ulster,New York,12428,-74.394077,41.716063
1004366,Bloomfield Ave Parking Lot,Denville,Morris,New Jersey,7834,-74.476083,40.891009
1004368,30 E. Wellsboro Street,Mansfield,Tioga,Pennsylvania,16933,-77.07686618,41.80728011
1004370,113 East Main St.,Mount Vernon,Franklin,Texas,75457,-95.221391,33.188902
1004375,310 Virginia Ave,Seaford,Sussex,Delaware,19973,-75.6140416,38.6529175
1004376,"Scamahorn Park, Main Street",Pittsboro,Hendricks,Indiana,46167,-86.4862817,39.8680142
1004377,9116 Hwy 42,Fish Creek,Door,Wisconsin,54212,-87.24535,45.113436
1004378,"Heart Park south of Hwy 200, 1 block west of Main Street",McClusky,Sheridan,North Dakota,58463,-100.443131,47.485154
1004380,North end of Main Street,Ivanhoe,Lincoln,Minnesota,56142,-96.246607,44.465197
