FMID,city,State,zip,x,y,Credit,WIC,WICcash,SFMNP,SNAP
1008078,San Antonio,Texas,78259,-98.466205,29.609803,Y,N,N,N,N
1019158,San Antonio,Texas,78259,-98.465436,29.609419,Y,N,N,N,N
1009831,Alice ,Texas,78332,-98.056203,27.756638,N,N,N,N,N
1007166,Rockport-Fulton,Texas,78382,-97.0335,28.0649,N,N,N,N,N
1012666,Corpus Christi ,Texas,78401,-97.392206,27.791601,Y,N,N,N,N
1007662,Corpus Christi,Texas,78405,-97.4258,27.7763,N,N,N,N,N
1003758,Corpus Christi,Texas,78413,-97.391425,27.702789,Y,N,N,N,Y
1009190,McAllen,Texas,78501,-98.2193,26.2014,Y,N,N,N,N
1009851,McAllen ,Texas,78504,-98.2419797,26.2415968,Y,Y,N,N,Y
1006168,Brownsville,Texas,78520,-97.494221,25.911617,Y,Y,N,N,Y
1009070,Harlingen,Texas,78550,-97.696103,26.190631,N,N,N,N,N
1011735,Harlingen ,Texas,78552,-97.704718,26.155226,Y,Y,N,N,Y
1012625,Mission ,Texas,78574,-98.305365,26.241991,Y,Y,N,N,N
1011733,Pharr ,Texas,78577,-98.1816051,26.2016033,Y,Y,N,N,Y
1009072,Laguna Vista,Texas,78578,-97.309153,26.112261,N,N,N,N,N
1009071,South Padre Island ,Texas,78597,-97.172023,26.147901,N,N,N,N,N
1000436,Bastrop,Texas,78602,-97.312067,30.110719,Y,N,N,N,Y
1009176,Buda,Texas,78610,-97.8433,30.0811,Y,N,N,N,N
1018869,Cedar Park ,Texas,78613,-97.806344,30.469242,Y,Y,N,N,Y
1000710,Cedar Park,Texas,78613,-97.806404,30.469332,Y,Y,N,N,Y
1012665,Dripping Springs ,Texas,78620,-98.0864453,30.1922992,Y,N,N,N,N
1004606,Fredericksburg,Texas,78624,-98.873134,30.27608,Y,N,N,N,N
1007731,Georgetown,Texas,78626,-97.6769,30.6376,N,N,N,N,N
1007732,Georgetown,Texas,78626,-97.6782,30.6399,N,N,N,N,N
1012372,Georgetown,Texas,78626,-97.6780832,30.6391672,Y,N,N,N,N
1008166,Georgetown,Texas,78628,-97.68575,30.561622,Y,N,N,N,N
1010307,Georgetown,Texas,78628,-97.6936314,30.6302756,Y,N,N,N,N
1008171,Georgetown,Texas,78633,-97.68575,30.561622,Y,N,N,N,N
1012218,Hutto,Texas,78634,-97.550922,30.543434,Y,N,N,N,N
1009525,Leander,Texas,78641,-97.8185,30.565,Y,N,N,N,N
1009465,Lockhart,Texas,78644,-97.6721,29.8835,Y,N,N,N,N
1007167,Manchaca,Texas,78652,-97.8554,30.1364,N,N,N,N,N
1001260,Pflugerville,Texas,78660,-97.606001,30.442585,Y,N,N,N,N
1018877,Round Rock,Texas,78665,-97.687978,30.557445,Y,N,N,N,N
1004613,San Marcos,Texas,78666,-97.940672,29.882251,N,N,N,N,N
1004612,San Marcos,Texas,78666,-97.937531,29.881728,Y,N,N,N,N
1019031,Spicewood,Texas,78669,-98.085816,30.388243,Y,N,N,N,N
1006186,Wimberley,Texas,78676,-98.1953,30.0452,N,N,N,N,N
1018865,Austin ,Texas,78701,-97.7472723,30.2679131,Y,Y,N,N,Y
1016836,Austin,Texas,78703,-97.72728,30.262002,Y,N,N,N,Y
1018870,Austin,Texas,78722,-97.7072901,30.2965856,Y,Y,N,N,Y
1000310,Austin,Texas,78724,-97.6353,30.285,N,N,N,N,N
1008179,Bee Cave,Texas,78738,-97.942188,30.30567,Y,Y,N,N,N
1018867,Austin/Sunset Valley,Texas,78745,-97.808943,30.230386,Y,N,N,N,Y
1002571,Austin,Texas,78745,-97.7579,30.2334,N,N,N,N,N
1009308,Austin,Texas,78746,-97.7557,30.3222,Y,N,N,N,N
1009402,Austin,Texas,78752,-97.7157,30.3244,Y,N,N,N,N
1004249,Austin,Texas,78757,-97.7018,30.4258,Y,N,N,N,N
1006982,Round Top,Texas,78954,-96.7556,30.0549,N,N,N,N,N
1007151,Hereford,Texas,79045,-102.404,34.8221,N,N,N,N,N
1002090,OLTON,Texas,79064,-102.133327,34.207401,Y,N,N,N,N
1007378,Amarillo,Texas,79109,-101.877799,35.198927,N,N,N,N,N
1000685,Idalou,Texas,79329,-101.611862,33.666336,Y,N,Y,N,Y
1017943,Wolfforth ,Texas,79382,-102.009305,33.509321,Y,N,N,N,N
1019098,Wolfforth,Texas,79382,-102.0163305,33.5197029,Y,Y,N,N,Y
1000683,Lubbock,Texas,79401,-101.8364,33.57785,Y,N,Y,N,Y
1019069,Lubbock,Texas,79407,-101.99615,33.578343,Y,N,N,N,Y
1017942,Lubbock ,Texas,79414,-101.917533,33.548016,Y,N,N,N,N
1009340,Clyde,Texas,79510,-99.4975,32.4067,Y,N,N,N,N
1004512,Abilene,Texas,79601,-99.7303,32.4513,N,N,N,N,N
1012022,Midland ,Texas,79701,-102.0924129,31.993215,Y,N,N,N,N
1003984,Midland,Texas,79703,-102.15,31.9954,N,N,N,N,N
1007186,Fabens,Texas,79838,-106.161,31.5049,N,N,N,N,N
1018716,El Paso,Texas,79901,-106.494288,31.756883,Y,N,N,N,Y
1008841,El Paso ,Texas,79901,-106.467575,31.771173,Y,N,N,N,Y
1007152,El Paso,Texas,79901,-106.363,31.74,N,N,N,N,N
1007185,El Paso,Texas,79902,-106.406,31.7885,N,N,N,N,N
1007164,El Paso,Texas,79902,-106.481,31.753,N,N,N,N,N
1007161,El Paso,Texas,79902,-106.421,31.881,N,N,N,N,N
1007150,El Paso,Texas,79902,-106.355,31.7608,N,N,N,N,N
1007155,El Paso,Texas,79902,-106.541,31.8198,N,N,N,N,N
1007175,El Paso,Texas,79902,-106.323,31.7011,N,N,N,N,N
1007147,El Paso,Texas,79902,-106.481,31.7693,N,N,N,N,N
1007184,El Paso,Texas,79902,-106.324,31.6995,N,N,N,N,N
1007153,El Paso,Texas,79910,-106.433,31.8013,N,N,N,N,N
1005081,Arvada,Colorado,80002,-105.081455,39.800138,Y,N,N,N,Y
1009285,Arvada,Colorado,80005,-105.155,39.8488,Y,N,N,N,N
1009518,Aurora,Colorado,80013,-104.77,39.6185,Y,N,N,N,N
1017989,Broomfield,Colorado,80020,-105.090062,39.92847,Y,Y,N,N,Y
1009283,Lafayette,Colorado,80026,-105.094,39.9869,Y,N,N,N,N
1004526,Lafayette,Colorado,80026,-105.09397,39.987182,Y,N,N,N,Y
1005911,Louisville,Colorado,80027,-105.1306795,39.9783836,Y,N,N,N,N
1017973,Wheat Ridge ,Colorado,80033,-105.106692,39.788405,Y,N,N,N,N
1011779,Wheat Ridge,Colorado,80033,-105.0752471,39.769904,Y,N,N,N,Y
1001377,Northglenn,Colorado,80035,-104.991182,39.889155,Y,N,N,N,Y
1008941,Bennett ,Colorado,80102,-104.433355,39.759025,Y,N,N,N,N
1003143,Castle Rock,Colorado,80104,-104.8600299,39.3722755,Y,N,N,N,N
1006377,Elizabeth,Colorado,80107,-104.595551,39.361195,N,N,N,N,N
1004692,Littleton,Colorado,80120,-105.025219,39.585505,Y,N,N,N,Y
1004687,Littleton,Colorado,80120,-105.092671,39.610856,Y,N,N,N,Y
1010938,Centennial ,Colorado,80121,-104.958077,39.601847,Y,N,N,N,N
1012094,Littleton,Colorado,80122,-104.989168,39.591409,Y,N,N,N,Y
1004688,Highlands Ranch,Colorado,80129,-104.999648,39.547082,Y,N,N,N,Y
1006304,monument,Colorado,80132,-104.840856,38.824673,Y,N,N,N,N
1006251,Denver,Colorado,80204,-105.021583,39.734147,Y,N,N,N,Y
1003640,Denver,Colorado,80204,-105.006,39.7328,N,N,N,N,N
1002313,Denver,Colorado,80210,-104.98047,39.688456,Y,N,N,N,N
1002312,Denver,Colorado,80211,-105.01123,39.75854,Y,N,N,N,N
1004069,Denver,Colorado,80223,-104.998287,39.719549,Y,N,N,N,Y
1011107,Lakewood,Colorado,80226,-105.099496,39.711429,Y,N,N,N,Y
1001672,Denver,Colorado,80230,-104.8969534,39.7190269,Y,N,N,N,N
1012335,Boulder,Colorado,80302,-105.277638,40.015245,Y,Y,N,N,Y
1005099,Golden,Colorado,80401,-105.226,39.7554,Y,N,N,N,Y
1010773,Conifer,Colorado,80433,-105.2872435,39.5445624,Y,N,N,N,N
1001118,Dillon,Colorado,80435,-105.548,38.9973,N,N,N,N,N
1001957,Evergreen,Colorado,80435,-105.3172146,39.6333213,Y,N,N,N,N
1006866,Granby,Colorado,80446,-105.937,40.0849,N,N,N,N,N
1009238,Indian Hills,Colorado,80454,-105.241,39.62,Y,N,N,N,N
1010101,Oak Creek,Colorado,80467,-106.9602779,40.2764181,N,N,N,N,N
1010302,Winter Park ,Colorado,80482,-105.7864768,39.9250052,Y,Y,N,N,N
1009811,Silverthorne,Colorado,80498,-106.074352,39.633002,Y,N,N,N,Y
1003353,Longmont,Colorado,80501,-105.1286563,40.1534817,Y,Y,N,N,Y
1004527,Niwot,Colorado,80503,-105.169,40.1011,N,N,N,N,N
1011149,Berthoud,Colorado,80513,-105.082636,40.305329,Y,N,N,N,N
1004525,Erie,Colorado,80516,-105.0474201,40.0491741,Y,N,N,N,Y
1009473,Fort Collins,Colorado,80521,-105.078,40.5878,Y,N,N,N,N
1000133,Fort Collins,Colorado,80521,-105.07995,40.586187,Y,N,Y,N,Y
1011232,Fort Collins ,Colorado,80524,-105.0775856,40.5878275,Y,N,N,N,Y
1011136,Fort Collins,Colorado,80525,-105.059691,40.522309,Y,N,N,N,Y
1018361,Fort Collins,Colorado,80526,-105.090755,40.552934,Y,N,N,N,Y
1010115,Frederick,Colorado,80530,-104.9412813,40.0986653,Y,N,N,N,N
1005800,Johnstown,Colorado,80534,-104.8544857,40.3301322,N,N,N,N,Y
1004255,Loveland,Colorado,80537,-105.078491,40.387536,Y,N,N,N,Y
1011137,Loveland,Colorado,80538,-105.0792245,40.4252668,Y,N,N,N,Y
1011155,Mead ,Colorado,80542,-104.988845,40.229627,Y,N,N,N,N
1005801,Milliken,Colorado,80543,-104.8544857,40.3301322,N,N,N,N,Y
1019112,Timnath,Colorado,80547,-104.981878,40.529078,Y,N,N,N,N
1017924,Wellington,Colorado,80549,-105.0050181,40.7048195,Y,N,N,N,Y
1018133,Windsor,Colorado,80550,-104.90383,40.481537,Y,N,N,N,Y
1000714,Eaton,Colorado,80615,-104.712,40.5301,N,N,N,N,N
1003819,Greeley,Colorado,80631,-104.688547,40.423138,Y,N,N,N,Y
1003820,Greeley,Colorado,80631,-104.689927,40.422715,Y,N,N,N,Y
1002856,Henderson,Colorado,80640,-104.904494,39.8589,Y,N,N,N,N
1007369,Brush,Colorado,80723,-103.6352521,40.2549432,Y,N,N,N,N
1002901,FOUNTAIN,Colorado,80817,-104.700367,38.6827,N,N,N,N,Y
1008079,Fountain,Colorado,80817,-104.6747807,38.5349209,Y,N,N,N,N
1012348,Manitou Springs,Colorado,80829,-104.912813,38.858322,Y,N,N,N,N
1018191,Woodland Park ,Colorado,80863,-105.054216,38.995578,Y,N,N,N,Y
1018238,Woodland Park ,Colorado,80863,-105.051536,38.9950235,Y,N,N,N,Y
1009656,Colorado Springs,Colorado,80903,-104.822309,38.830543,Y,N,N,N,Y
